1|2|ACCEPTED|8|Cacak cacak sumadijski rok end roll|SERBIAN|9.4.2024|12.5.2024|6|2
2|2|ACCEPTED|5|molim te radi|ENGLISH|7.3.2024|12.5.2024|7|2
3|2|PENDING|8|kjdwkdmkwm|GERMAN|24.6.2024|29.8.2024|8|1
4|2|INVALID|0|Nesto lepo|GERMAN|23.5.2024|1.6.2024|9|2
5|2|ACCEPTED|3|Voleo bih da obidjemo ovaj deo grada i da se lepo provedemo moje drustvance i ja hihi. Voleo bih da se vozim sarganskom osmicom.|GERMAN|17.5.2024|24.5.2024|11|3
6|2|INVALID|2|proba nevazeci zahtev|ENGLISH|15.5.2024|15.5.2024|12|1
7|2|ACCEPTED|2|GAGAGasdadas|ENGLISH|25.5.2024|27.5.2024|13|2
8|2|INVALID|2|proba statistika kreiranje tura|ENGLISH|18.5.2024|22.5.2024|14|1
9|2|ACCEPTED|2|Proba tura zahtev 2025 godina ajmo|GERMAN|10.1.2025|17.1.2025|17|1
10|2|INVALID|1|Provera kreiranja|SERBIAN|19.5.2024|25.5.2024|18|1
11|2|INVALID|3|disdfsd|GERMAN|12.1.2025|17.1.2025|19|1
12|2|PENDING|4|HIHIHI jejea jea|SERBIAN|13.6.2024|16.6.2024|20|2
13|2|PENDING|0|Ich bin Prdoje!!!|GERMAN|22.6.2024|23.6.2024|21|2
